App ID,App Name,RandomID,Email,Paket,Buchungsdatum,native,iOS Audience,Android Audience,Gesamt Audience,Transaktionen,ModuleEmails,Neue Besucher,Wiederkehrende Besucher,Besucher Gesamt,Gesendete PN,Submission Service Apple,Submission Service Google,Submission Service Amazon,AppStore URL,Google Play URL,Last Publish Date,TEXT,MAP,COUPON,GALLERY,NEWSCENTER,EVENTS,CONTACT,SUBMENU,SUBMENU_SEPARATOR,RESERVATION,VIDEO,USER_MODULE,RESERVATION2,RESERVATION3,RESERVATION4,COLLECTION_PRODUCT,COLLECTION_MENU,COLLECTION_BRANCH,BUSINESS_HOURS,PDF,TABLE_RESERVATION,FORMS,EXTERNAL_SERVICE_APPOINTMENT,WEBSITE,EXTERNAL_SERVICE_REVIEW,STAMPCARD,Eingelöste Stempelkarten,Stempelkartennutzer,Insgesamt verteilte Stempel,Gesamt Nutzer
,,c9b5f76d-5ece-4cd4-a4e8-ba0a1d40d215,,,,,75,348,423,0,0,773,831,1604,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,fbde3890-3d80-42b4-82fa-dff91cf325ad,,,,,2,11,13,0,0,2,0,2,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,55f04d95-7962-4f8c-8213-b77209f36d2a,,,,,16,71,87,0,0,4,0,4,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,aa716869-2396-4c93-97f1-6d11e85edc86,,,,,4,4,8,0,0,2,0,2,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,dfd6381a-974a-4d0d-9aa0-3c921abb151c,,,,,0,0,0,0,0,4,12,16,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2bcfad74-a915-4616-8916-193d3297bfb8,,,,,2,7,9,0,0,0,0,0,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2307d147-8136-47f8-b36d-85bb469dc84c,,,,,2,3,5,0,0,2,3,5,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,22f9681b-aa8f-44be-8adf-af425bcf0116,,,,,3,2,5,0,0,0,0,0,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2f92cd7f-7765-4db8-90aa-25bfafbe7d4f,,,,,0,0,0,0,0,0,0,0,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,882e8f7d-8c57-4a4c-9cc7-7a1a18cc154d,,,,,32,47,79,0,0,4,8,12,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8943ebd5-582d-4414-99f0-a65f07943f89,,,,,0,0,0,0,0,0,0,0,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ad846372-ca4b-47bb-88dc-93e9dba4a5ec,,,,,0,1,1,0,0,0,0,0,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3b0b0791-d76a-4ab4-aa47-36865da2ed91,,,,,3,3,6,0,0,6,0,6,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,619f8a8c-2e5f-48cd-a024-a48e24d161ea,,,,,0,0,0,0,2,19,-4,15,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,26fdf66f-5d2c-46e2-a2fb-7baea34ad400,,,,,10,16,26,0,0,2,0,2,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ca6bf94b-911d-4afd-9c64-92b4a22f9889,,,,,6,19,25,0,0,8,-6,2,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,d5732072-8ff6-42c8-8222-03b0e04365d2,,,,,13,8,21,0,0,13,15,28,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
